Spirit,Stage,Aspect(s),Moves Known,Full Learnset (Lv: Move),Recommended 4-Move Set @ Lv30
Lotusurge,Final A,Grass/Water,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Spore Cloud · Lv30: Tidal Wave · Lv34: Crushing Kick · Lv38: Sunray Blast,Tidal Wave / Full Body Crash / Silk Snare / Bramble Rend
Voltroot,Final B,Grass/Electric,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Spore Cloud · Lv30: Storm Bolt · Lv34: Crushing Kick · Lv38: Sunray Blast,Storm Bolt / Full Body Crash / Silk Snare / Bramble Rend
Budbloom,Base,Grass,5,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud,Leaf Cutter / Star Shower / Spore Cloud / Life Siphon
Petalisk,Stage 2,Grass,8,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind,Bramble Rend / Full Body Crash / Spore Cloud / Leaf Cutter
Orchlume,Final A,Grass/Fairy,11,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Lunar Burst · Lv34: Blade Ritual · Lv38: Sunray Blast,Lunar Burst / Full Body Crash / Spore Cloud / Bramble Rend
Venobloom,Final B,Grass/Poison,11,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Sludge Wave · Lv34: Blade Ritual · Lv38: Sunray Blast,Sludge Wave / Full Body Crash / Spore Cloud / Bramble Rend
Brontide,Base,Water,5,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike,Bubble Burst / Star Shower / Mist Shroud / Water Splash
Brontaur,Stage 2,Water,8,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Torrent Fang · Lv25: Blade Ritual,Torrent Fang / Full Body Crash / Mist Shroud / Bubble Burst
Glacisaur,Final A,Water/Ice,11,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Torrent Fang · Lv25: Blade Ritual · Lv30: Glacial Storm · Lv34: Afterimage · Lv38: Tidal Wave,Glacial Storm / Full Body Crash / Mist Shroud / Torrent Fang
Dracotide,Final B,Water/Dragon,11,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Torrent Fang · Lv25: Blade Ritual · Lv30: Draco Surge · Lv34: Afterimage · Lv38: Tidal Wave,Draco Surge / Full Body Crash / Mist Shroud / Torrent Fang
Buzzle,Base,Bug,5,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss,Pincer Nip / Star Shower / Silk Snare / Slash Strike
Buzzguard,Stage 2,Bug/Flying,8,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Swarm Strike · Lv25: Blade Ritual,Skyward Dive / Star Shower / Silk Snare / Swarm Strike
Voltwing,Final A,Bug/Electric,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Storm Bolt · Lv34: Crushing Kick · Lv38: Hive Fury,Storm Bolt / Skyward Dive / Silk Snare / Swarm Strike
Jabjacket,Final B,Bug/Fighting,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Grapple Slam · Lv34: Crushing Kick · Lv38: Hive Fury,Grapple Slam / Skyward Dive / Silk Snare / Swarm Strike
Frondove,Base,Grass/Flying,5,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud,Leaf Cutter / Star Shower / Spore Cloud / Life Siphon
Leaflark,Stage 2,Grass/Flying,8,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Skyward Dive · Lv21: Bramble Rend · Lv25: Root Bind,Bramble Rend / Star Shower / Spore Cloud / Skyward Dive
Floravian,Final A,Grass/Fairy,11,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Skyward Dive · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Lunar Burst · Lv34: Blade Ritual · Lv38: Sunray Blast,Lunar Burst / Skyward Dive / Spore Cloud / Bramble Rend
Thornraven,Final B,Grass/Dark,11,Lv1: Coin Toss · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Skyward Dive · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Umbral Rend · Lv34: Blade Ritual · Lv38: Sunray Blast,Umbral Rend / Skyward Dive / Spore Cloud / Bramble Rend
Bloomble,Base,Grass,5,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud,Leaf Cutter / Star Shower / Spore Cloud / Life Siphon
Mossmallow,Stage 2,Grass,8,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind,Bramble Rend / Full Body Crash / Spore Cloud / Leaf Cutter
Floraglee,Final A,Grass/Fairy,11,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Lunar Burst · Lv34: Blade Ritual · Lv38: Sunray Blast,Lunar Burst / Full Body Crash / Spore Cloud / Bramble Rend
Sporebog,Final B,Grass/Poison,11,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Sludge Wave · Lv34: Blade Ritual · Lv38: Sunray Blast,Sludge Wave / Full Body Crash / Spore Cloud / Bramble Rend
Cherubick,Base,Fairy/Flying,5,Lv1: Slash Strike · Lv1: Glimmer Tap · Lv5: Charm Ward · Lv9: Star Shower · Lv13: Coin Toss,Glimmer Tap / Star Shower / Charm Ward / Slash Strike
Halowing,Stage 2,Fairy/Flying,8,Lv1: Slash Strike · Lv1: Glimmer Tap · Lv5: Charm Ward · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Radiant Flash · Lv25: Blade Ritual,Radiant Flash / Star Shower / Charm Ward / Skyward Dive
Seraphlume,Final A,Fairy/Flying,11,Lv1: Slash Strike · Lv1: Glimmer Tap · Lv5: Charm Ward · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Radiant Flash · Lv25: Blade Ritual · Lv30: Dive Bomb · Lv34: Crushing Kick · Lv38: Lunar Burst,Dive Bomb / Star Shower / Charm Ward / Radiant Flash
Duskrael,Final B,Dark/Flying,11,Lv1: Slash Strike · Lv1: Glimmer Tap · Lv5: Charm Ward · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Radiant Flash · Lv25: Blade Ritual · Lv30: Dive Bomb · Lv34: Crushing Kick · Lv38: Umbral Rend,Dive Bomb / Radiant Flash / Charm Ward / Skyward Dive
Shellot,Base,Normal,5,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage,Star Shower / Blade Ritual / Slash Strike / Coin Toss
Shellark,Stage 2,Flying,8,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Skyward Dive · Lv25: Updraft,Skyward Dive / Full Body Crash / Blade Ritual / Star Shower
Solroost,Final A,Fire/Flying,11,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Skyward Dive · Lv25: Updraft · Lv30: Dive Bomb · Lv34: Cinder Veil · Lv38: Inferno Burst,Dive Bomb / Full Body Crash / Blade Ritual / Skyward Dive
Lunowl,Final B,Ice/Flying,11,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Skyward Dive · Lv25: Updraft · Lv30: Dive Bomb · Lv34: Frost Veil · Lv38: Frost Ray,Dive Bomb / Full Body Crash / Blade Ritual / Skyward Dive
Roswyrm,Base,Water,5,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike,Bubble Burst / Star Shower / Mist Shroud / Water Splash
Roscale,Stage 2,Water/Dragon,8,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike · Lv17: Scale Ripple · Lv21: Torrent Fang · Lv25: Blade Ritual,Torrent Fang / Star Shower / Mist Shroud / Bubble Burst
Pearleserp,Final A,Water/Fairy,11,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike · Lv17: Scale Ripple · Lv21: Torrent Fang · Lv25: Blade Ritual · Lv30: Lunar Burst · Lv34: Afterimage · Lv38: Tidal Wave,Lunar Burst / Star Shower / Mist Shroud / Torrent Fang
Venomare,Final B,Water/Poison,11,Lv1: Star Shower · Lv1: Water Splash · Lv5: Mist Shroud · Lv9: Bubble Burst · Lv13: Slash Strike · Lv17: Scale Ripple · Lv21: Torrent Fang · Lv25: Blade Ritual · Lv30: Sludge Wave · Lv34: Afterimage · Lv38: Tidal Wave,Sludge Wave / Star Shower / Mist Shroud / Torrent Fang
Dottella,Base,Bug,5,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss,Pincer Nip / Star Shower / Silk Snare / Slash Strike
Carapotta,Stage 2,Bug,8,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Swarm Strike · Lv25: Blade Ritual,Swarm Strike / Full Body Crash / Silk Snare / Pincer Nip
Aegibug,Final A,Bug/Steel,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Forge Strike · Lv34: Crushing Kick · Lv38: Hive Fury,Forge Strike / Full Body Crash / Silk Snare / Swarm Strike
Magmara,Final B,Bug/Fire,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Full Body Crash · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Inferno Burst · Lv34: Crushing Kick · Lv38: Hive Fury,Inferno Burst / Full Body Crash / Silk Snare / Swarm Strike
Pinchitin,Base,Bug,5,Lv1: Coin Toss · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Slash Strike,Pincer Nip / Star Shower / Silk Snare / Slash Strike
Clamptera,Stage 2,Bug,8,Lv1: Coin Toss · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Swarm Strike · Lv25: Blade Ritual,Swarm Strike / Full Body Crash / Silk Snare / Pincer Nip
Ferraclaw,Final A,Bug/Steel,11,Lv1: Coin Toss · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Forge Strike · Lv34: Afterimage · Lv38: Hive Fury,Forge Strike / Full Body Crash / Silk Snare / Swarm Strike
Noxpincer,Final B,Bug/Dark,11,Lv1: Coin Toss · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Umbral Rend · Lv34: Afterimage · Lv38: Hive Fury,Umbral Rend / Full Body Crash / Silk Snare / Swarm Strike
Verdusk,Base,Grass/Flying,5,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud,Leaf Cutter / Star Shower / Spore Cloud / Life Siphon
Frondbat,Stage 2,Grass/Flying,8,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Skyward Dive · Lv21: Bramble Rend · Lv25: Root Bind,Bramble Rend / Star Shower / Spore Cloud / Skyward Dive
Lunabloom,Final A,Grass/Fairy,11,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Skyward Dive · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Lunar Burst · Lv34: Blade Ritual · Lv38: Sunray Blast,Lunar Burst / Skyward Dive / Spore Cloud / Bramble Rend
Wraithleaf,Final B,Grass/Ghost,11,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Skyward Dive · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Soul Rend · Lv34: Blade Ritual · Lv38: Sunray Blast,Soul Rend / Skyward Dive / Spore Cloud / Bramble Rend
Skettera,Base,Bug,5,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss,Pincer Nip / Star Shower / Silk Snare / Slash Strike
Skeetrike,Stage 2,Bug/Flying,8,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Swarm Strike · Lv25: Blade Ritual,Skyward Dive / Star Shower / Silk Snare / Swarm Strike
Aquasting,Final A,Bug/Water,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Tidal Wave · Lv34: Crushing Kick · Lv38: Hive Fury,Tidal Wave / Skyward Dive / Silk Snare / Swarm Strike
Venatrix,Final B,Bug/Poison,11,Lv1: Slash Strike · Lv1: Pincer Nip · Lv5: Silk Snare · Lv9: Star Shower · Lv13: Coin Toss · Lv17: Skyward Dive · Lv21: Swarm Strike · Lv25: Blade Ritual · Lv30: Sludge Wave · Lv34: Crushing Kick · Lv38: Hive Fury,Sludge Wave / Skyward Dive / Silk Snare / Swarm Strike
Fleeceling,Base,Normal,5,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage,Star Shower / Blade Ritual / Slash Strike / Coin Toss
Ramblewool,Stage 2,Normal,8,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Warm Recovery,Full Body Crash / Blade Ritual / Power Jab / Star Shower
Voltaram,Final A,Electric,11,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Warm Recovery · Lv30: Storm Bolt · Lv34: Static Pulse · Lv38: Volt Strike,Storm Bolt / Full Body Crash / Blade Ritual / Power Jab
Glacifleece,Final B,Ice,11,Lv1: Coin Toss · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Star Shower · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Warm Recovery · Lv30: Glacial Storm · Lv34: Frost Veil · Lv38: Frost Ray,Glacial Storm / Full Body Crash / Blade Ritual / Power Jab
Spriglim,Base,Grass,5,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud,Leaf Cutter / Star Shower / Spore Cloud / Life Siphon
Leafkin,Stage 2,Grass,8,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind,Bramble Rend / Full Body Crash / Spore Cloud / Leaf Cutter
Sylphlora,Final A,Grass/Fairy,11,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Lunar Burst · Lv34: Blade Ritual · Lv38: Sunray Blast,Lunar Burst / Full Body Crash / Spore Cloud / Bramble Rend
Verdraxis,Final B,Grass/Dragon,11,Lv1: Star Shower · Lv1: Life Siphon · Lv5: Slash Strike · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Draco Surge · Lv34: Blade Ritual · Lv38: Sunray Blast,Draco Surge / Full Body Crash / Spore Cloud / Bramble Rend
Fawnix,Base,Fire,5,Lv1: Slash Strike · Lv1: Ember Flick · Lv5: Cinder Veil · Lv9: Flame Lash · Lv13: Star Shower,Flame Lash / Star Shower / Cinder Veil / Ember Flick
Vulpine,Stage 2,Fire,8,Lv1: Slash Strike · Lv1: Ember Flick · Lv5: Cinder Veil · Lv9: Flame Lash · Lv13: Star Shower · Lv17: Full Body Crash · Lv21: Blaze Fang · Lv25: Blade Ritual,Blaze Fang / Full Body Crash / Cinder Veil / Flame Lash
Ferravulp,Final A,Fire/Steel,11,Lv1: Slash Strike · Lv1: Ember Flick · Lv5: Cinder Veil · Lv9: Flame Lash · Lv13: Star Shower · Lv17: Full Body Crash · Lv21: Blaze Fang · Lv25: Blade Ritual · Lv30: Forge Strike · Lv34: Crushing Kick · Lv38: Inferno Burst,Forge Strike / Full Body Crash / Cinder Veil / Blaze Fang
Cindusk,Final B,Dark/Fire,11,Lv1: Slash Strike · Lv1: Ember Flick · Lv5: Cinder Veil · Lv9: Flame Lash · Lv13: Star Shower · Lv17: Full Body Crash · Lv21: Blaze Fang · Lv25: Blade Ritual · Lv30: Inferno Burst · Lv34: Crushing Kick · Lv38: Umbral Rend,Inferno Burst / Full Body Crash / Cinder Veil / Blaze Fang
Frostel,Base,Ice,5,Lv1: Coin Toss · Lv1: Chill Touch · Lv5: Frost Veil · Lv9: Star Shower · Lv13: Slash Strike,Chill Touch / Star Shower / Frost Veil / Slash Strike
Erminice,Stage 2,Ice,8,Lv1: Coin Toss · Lv1: Chill Touch · Lv5: Frost Veil · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Blade Ritual,Chill Touch / Full Body Crash / Frost Veil / Power Jab
Aurorine,Final A,Ice/Fairy,11,Lv1: Coin Toss · Lv1: Chill Touch · Lv5: Frost Veil · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Blade Ritual · Lv30: Lunar Burst · Lv34: Afterimage · Lv38: Frost Ray,Lunar Burst / Full Body Crash / Frost Veil / Chill Touch
Blizzlash,Final B,Ice/Dark,11,Lv1: Coin Toss · Lv1: Chill Touch · Lv5: Frost Veil · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Blade Ritual · Lv30: Umbral Rend · Lv34: Afterimage · Lv38: Frost Ray,Umbral Rend / Full Body Crash / Frost Veil / Chill Touch
Bloopuff,Base,Normal,5,Lv1: Star Shower · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Coin Toss · Lv13: Afterimage,Star Shower / Blade Ritual / Slash Strike / Coin Toss
Floofin,Stage 2,Normal,8,Lv1: Star Shower · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Coin Toss · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Warm Recovery,Full Body Crash / Blade Ritual / Power Jab / Star Shower
Nimbuspry,Final A,Ice/Fairy,11,Lv1: Star Shower · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Coin Toss · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Warm Recovery · Lv30: Lunar Burst · Lv34: Decoy Form · Lv38: Frost Ray,Lunar Burst / Full Body Crash / Blade Ritual / Power Jab
Stormuff,Final B,Electric/Dark,11,Lv1: Star Shower · Lv1: Slash Strike · Lv5: Blade Ritual · Lv9: Coin Toss · Lv13: Afterimage · Lv17: Full Body Crash · Lv21: Power Jab · Lv25: Warm Recovery · Lv30: Umbral Rend · Lv34: Decoy Form · Lv38: Volt Strike,Umbral Rend / Full Body Crash / Blade Ritual / Power Jab
Mosscoil,Base,Grass,5,Lv1: Slash Strike · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud,Leaf Cutter / Star Shower / Spore Cloud / Life Siphon
Grovesnail,Stage 2,Grass,8,Lv1: Slash Strike · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind,Bramble Rend / Full Body Crash / Spore Cloud / Leaf Cutter
Lotushell,Final A,Grass/Water,11,Lv1: Slash Strike · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Tidal Wave · Lv34: Crushing Kick · Lv38: Sunray Blast,Tidal Wave / Full Body Crash / Spore Cloud / Bramble Rend
Ruincoil,Final B,Grass/Rock,11,Lv1: Slash Strike · Lv1: Life Siphon · Lv5: Star Shower · Lv9: Leaf Cutter · Lv13: Spore Cloud · Lv17: Full Body Crash · Lv21: Bramble Rend · Lv25: Root Bind · Lv30: Boulder Fall · Lv34: Crushing Kick · Lv38: Sunray Blast,Bramble Rend / Full Body Crash / Spore Cloud / Boulder Fall
Wickisp,Base,Ghost,5,Lv1: Coin Toss · Lv1: Spectral Touch · Lv5: Haunt Whisper · Lv9: Star Shower · Lv13: Slash Strike,Spectral Touch / Star Shower / Haunt Whisper / Slash Strike
Candlurk,Stage 2,Fire/Ghost,8,Lv1: Coin Toss · Lv1: Spectral Touch · Lv5: Haunt Whisper · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Phantom Rend · Lv21: Blaze Fang · Lv25: Cinder Veil,Phantom Rend / Star Shower / Haunt Whisper / Blaze Fang
Halolume,Final A,Fire/Fairy,11,Lv1: Coin Toss · Lv1: Spectral Touch · Lv5: Haunt Whisper · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Phantom Rend · Lv21: Blaze Fang · Lv25: Cinder Veil · Lv30: Lunar Burst · Lv34: Blade Ritual · Lv38: Inferno Burst,Lunar Burst / Phantom Rend / Haunt Whisper / Blaze Fang
Hexabra,Final B,Fire/Ghost,11,Lv1: Coin Toss · Lv1: Spectral Touch · Lv5: Haunt Whisper · Lv9: Star Shower · Lv13: Slash Strike · Lv17: Phantom Rend · Lv21: Blaze Fang · Lv25: Cinder Veil · Lv30: Soul Rend · Lv34: Blade Ritual · Lv38: Inferno Burst,Soul Rend / Star Shower / Haunt Whisper / Phantom Rend
