Spirit,Stage,Aspect(s),Learn Level,Move,Move Aspect,Category,Power,Effect,Source,Animation,Animation Source
Aureguard,Final A,Steel/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Aureguard,Final A,Steel/Fairy,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Aureguard,Final A,Steel/Fairy,38,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Dreadhelm,Final B,Steel/Dark,1,Coin Toss,Normal,Phys,40,—,inherited from Helmling,Coins scatter,original
Dreadhelm,Final B,Steel/Dark,1,Iron Rap,Steel,Phys,50,—,inherited from Helmling,Generic hit flash,reuses: Power Jab
Dreadhelm,Final B,Steel/Dark,5,Plate Guard,Steel,Status,0,Sharply raises Defense,inherited from Helmling,Blue shimmer barrier,reuses: Barrier Ward
Dreadhelm,Final B,Steel/Dark,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Helmling,Yellow stars fly,original
Dreadhelm,Final B,Steel/Dark,13,Slash Strike,Normal,Phys,50,—,inherited from Helmling,Slash lines,original
Dreadhelm,Final B,Steel/Dark,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Knighton,Generic hit flash,original
Dreadhelm,Final B,Steel/Dark,21,Steel Cleave,Steel,Phys,80,High crit rate,inherited from Knighton,Slash lines,reuses: Slash Strike
Dreadhelm,Final B,Steel/Dark,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Knighton,Spinning blades around user,original
Dreadhelm,Final B,Steel/Dark,30,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Dreadhelm,Final B,Steel/Dark,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Dreadhelm,Final B,Steel/Dark,38,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Gearbit,Base,Steel,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Gearbit,Base,Steel,1,Iron Rap,Steel,Phys,50,—,own,Generic hit flash,reuses: Power Jab
Gearbit,Base,Steel,5,Plate Guard,Steel,Status,0,Sharply raises Defense,own,Blue shimmer barrier,reuses: Barrier Ward
Gearbit,Base,Steel,9,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Gearbit,Base,Steel,13,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Cogskitter,Stage 2,Steel,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Gearbit,Yellow stars fly,original
Cogskitter,Stage 2,Steel,1,Iron Rap,Steel,Phys,50,—,inherited from Gearbit,Generic hit flash,reuses: Power Jab
Cogskitter,Stage 2,Steel,5,Plate Guard,Steel,Status,0,Sharply raises Defense,inherited from Gearbit,Blue shimmer barrier,reuses: Barrier Ward
Cogskitter,Stage 2,Steel,9,Slash Strike,Normal,Phys,50,—,inherited from Gearbit,Slash lines,original
Cogskitter,Stage 2,Steel,13,Coin Toss,Normal,Phys,40,—,inherited from Gearbit,Coins scatter,original
Cogskitter,Stage 2,Steel,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Cogskitter,Stage 2,Steel,21,Steel Cleave,Steel,Phys,80,High crit rate,own,Slash lines,reuses: Slash Strike
Cogskitter,Stage 2,Steel,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Voltracer,Final A,Electric/Steel,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Gearbit,Yellow stars fly,original
Voltracer,Final A,Electric/Steel,1,Iron Rap,Steel,Phys,50,—,inherited from Gearbit,Generic hit flash,reuses: Power Jab
Voltracer,Final A,Electric/Steel,5,Plate Guard,Steel,Status,0,Sharply raises Defense,inherited from Gearbit,Blue shimmer barrier,reuses: Barrier Ward
Voltracer,Final A,Electric/Steel,9,Slash Strike,Normal,Phys,50,—,inherited from Gearbit,Slash lines,original
Voltracer,Final A,Electric/Steel,13,Coin Toss,Normal,Phys,40,—,inherited from Gearbit,Coins scatter,original
Voltracer,Final A,Electric/Steel,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Cogskitter,Generic hit flash,original
Voltracer,Final A,Electric/Steel,21,Steel Cleave,Steel,Phys,80,High crit rate,inherited from Cogskitter,Slash lines,reuses: Slash Strike
Voltracer,Final A,Electric/Steel,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Cogskitter,Spinning blades around user,original
Voltracer,Final A,Electric/Steel,30,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Voltracer,Final A,Electric/Steel,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Voltracer,Final A,Electric/Steel,38,Volt Strike,Electric,Spec,95,Paralysis (10%),own,Lightning strike,original
Scraprowl,Final B,Steel/Dark,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Gearbit,Yellow stars fly,original
Scraprowl,Final B,Steel/Dark,1,Iron Rap,Steel,Phys,50,—,inherited from Gearbit,Generic hit flash,reuses: Power Jab
Scraprowl,Final B,Steel/Dark,5,Plate Guard,Steel,Status,0,Sharply raises Defense,inherited from Gearbit,Blue shimmer barrier,reuses: Barrier Ward
Scraprowl,Final B,Steel/Dark,9,Slash Strike,Normal,Phys,50,—,inherited from Gearbit,Slash lines,original
Scraprowl,Final B,Steel/Dark,13,Coin Toss,Normal,Phys,40,—,inherited from Gearbit,Coins scatter,original
Scraprowl,Final B,Steel/Dark,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Cogskitter,Generic hit flash,original
Scraprowl,Final B,Steel/Dark,21,Steel Cleave,Steel,Phys,80,High crit rate,inherited from Cogskitter,Slash lines,reuses: Slash Strike
Scraprowl,Final B,Steel/Dark,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Cogskitter,Spinning blades around user,original
Scraprowl,Final B,Steel/Dark,30,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Scraprowl,Final B,Steel/Dark,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Scraprowl,Final B,Steel/Dark,38,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Nectenna,Base,Bug,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Nectenna,Base,Bug,1,Pincer Nip,Bug,Phys,45,—,own,Generic hit flash,reuses: Power Jab
Nectenna,Base,Bug,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,own,Sparkle overlay,reuses: Mirror Act
Nectenna,Base,Bug,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Nectenna,Base,Bug,13,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Sproutide,Stage 2,Grass,1,Slash Strike,Normal,Phys,50,—,inherited from Nectenna,Slash lines,original
Sproutide,Stage 2,Grass,1,Pincer Nip,Bug,Phys,45,—,inherited from Nectenna,Generic hit flash,reuses: Power Jab
Sproutide,Stage 2,Grass,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Nectenna,Sparkle overlay,reuses: Mirror Act
Sproutide,Stage 2,Grass,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Nectenna,Yellow stars fly,original
Sproutide,Stage 2,Grass,13,Coin Toss,Normal,Phys,40,—,inherited from Nectenna,Coins scatter,original
Sproutide,Stage 2,Grass,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Sproutide,Stage 2,Grass,21,Bramble Rend,Grass,Spec,80,—,own,"Charge, then blade slash",reuses: Wind Slicer
Sproutide,Stage 2,Grass,25,Spore Cloud,Grass,Status,0,Puts target to sleep,own,Green sparkle overlay,reuses: Warm Recovery
Lotusurge,Final A,Grass/Water,1,Slash Strike,Normal,Phys,50,—,inherited from Nectenna,Slash lines,original
Lotusurge,Final A,Grass/Water,1,Pincer Nip,Bug,Phys,45,—,inherited from Nectenna,Generic hit flash,reuses: Power Jab
Lotusurge,Final A,Grass/Water,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Nectenna,Sparkle overlay,reuses: Mirror Act
Lotusurge,Final A,Grass/Water,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Nectenna,Yellow stars fly,original
Lotusurge,Final A,Grass/Water,13,Coin Toss,Normal,Phys,40,—,inherited from Nectenna,Coins scatter,original
Lotusurge,Final A,Grass/Water,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Sproutide,Generic hit flash,original
Lotusurge,Final A,Grass/Water,21,Bramble Rend,Grass,Spec,80,—,inherited from Sproutide,"Charge, then blade slash",reuses: Wind Slicer
Lotusurge,Final A,Grass/Water,25,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Sproutide,Green sparkle overlay,reuses: Warm Recovery
Lotusurge,Final A,Grass/Water,30,Tidal Wave,Water,Spec,95,—,own,Large wave washes over,original
Lotusurge,Final A,Grass/Water,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Lotusurge,Final A,Grass/Water,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Voltroot,Final B,Grass/Electric,1,Slash Strike,Normal,Phys,50,—,inherited from Nectenna,Slash lines,original
Voltroot,Final B,Grass/Electric,1,Pincer Nip,Bug,Phys,45,—,inherited from Nectenna,Generic hit flash,reuses: Power Jab
Voltroot,Final B,Grass/Electric,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Nectenna,Sparkle overlay,reuses: Mirror Act
Voltroot,Final B,Grass/Electric,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Nectenna,Yellow stars fly,original
Voltroot,Final B,Grass/Electric,13,Coin Toss,Normal,Phys,40,—,inherited from Nectenna,Coins scatter,original
Voltroot,Final B,Grass/Electric,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Sproutide,Generic hit flash,original
Voltroot,Final B,Grass/Electric,21,Bramble Rend,Grass,Spec,80,—,inherited from Sproutide,"Charge, then blade slash",reuses: Wind Slicer
Voltroot,Final B,Grass/Electric,25,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Sproutide,Green sparkle overlay,reuses: Warm Recovery
Voltroot,Final B,Grass/Electric,30,Storm Bolt,Electric,Spec,110,Paralysis (10%),own,Large lightning + flash,original
Voltroot,Final B,Grass/Electric,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Voltroot,Final B,Grass/Electric,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Budbloom,Base,Grass,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Budbloom,Base,Grass,1,Life Siphon,Grass,Spec,40,Heals user,own,"Green beam, drains HP",original
Budbloom,Base,Grass,5,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Budbloom,Base,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,own,Slash lines,reuses: Slash Strike
Budbloom,Base,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,own,Green sparkle overlay,reuses: Warm Recovery
Petalisk,Stage 2,Grass,1,Coin Toss,Normal,Phys,40,—,inherited from Budbloom,Coins scatter,original
Petalisk,Stage 2,Grass,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Budbloom,"Green beam, drains HP",original
Petalisk,Stage 2,Grass,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Budbloom,Yellow stars fly,original
Petalisk,Stage 2,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Budbloom,Slash lines,reuses: Slash Strike
Petalisk,Stage 2,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Budbloom,Green sparkle overlay,reuses: Warm Recovery
Petalisk,Stage 2,Grass,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Petalisk,Stage 2,Grass,21,Bramble Rend,Grass,Spec,80,—,own,"Charge, then blade slash",reuses: Wind Slicer
Petalisk,Stage 2,Grass,25,Root Bind,Grass,Status,0,Sharply lowers Speed,own,"Green beam, drains HP",reuses: Life Siphon
Orchlume,Final A,Grass/Fairy,1,Coin Toss,Normal,Phys,40,—,inherited from Budbloom,Coins scatter,original
Orchlume,Final A,Grass/Fairy,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Budbloom,"Green beam, drains HP",original
Orchlume,Final A,Grass/Fairy,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Budbloom,Yellow stars fly,original
Orchlume,Final A,Grass/Fairy,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Budbloom,Slash lines,reuses: Slash Strike
Orchlume,Final A,Grass/Fairy,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Budbloom,Green sparkle overlay,reuses: Warm Recovery
Orchlume,Final A,Grass/Fairy,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Petalisk,Generic hit flash,original
Orchlume,Final A,Grass/Fairy,21,Bramble Rend,Grass,Spec,80,—,inherited from Petalisk,"Charge, then blade slash",reuses: Wind Slicer
Orchlume,Final A,Grass/Fairy,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Petalisk,"Green beam, drains HP",reuses: Life Siphon
Orchlume,Final A,Grass/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Orchlume,Final A,Grass/Fairy,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Orchlume,Final A,Grass/Fairy,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Venobloom,Final B,Grass/Poison,1,Coin Toss,Normal,Phys,40,—,inherited from Budbloom,Coins scatter,original
Venobloom,Final B,Grass/Poison,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Budbloom,"Green beam, drains HP",original
Venobloom,Final B,Grass/Poison,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Budbloom,Yellow stars fly,original
Venobloom,Final B,Grass/Poison,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Budbloom,Slash lines,reuses: Slash Strike
Venobloom,Final B,Grass/Poison,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Budbloom,Green sparkle overlay,reuses: Warm Recovery
Venobloom,Final B,Grass/Poison,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Petalisk,Generic hit flash,original
Venobloom,Final B,Grass/Poison,21,Bramble Rend,Grass,Spec,80,—,inherited from Petalisk,"Charge, then blade slash",reuses: Wind Slicer
Venobloom,Final B,Grass/Poison,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Petalisk,"Green beam, drains HP",reuses: Life Siphon
Venobloom,Final B,Grass/Poison,30,Sludge Wave,Poison,Phys,90,30% poison,own,Purple splash overlay,reuses: Venom Curse
Venobloom,Final B,Grass/Poison,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Venobloom,Final B,Grass/Poison,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Brontide,Base,Water,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Brontide,Base,Water,1,Water Splash,Water,Spec,40,—,own,Water jet,original
Brontide,Base,Water,5,Mist Shroud,Water,Status,0,Raises evasion,own,Afterimage flicker,reuses: Afterimage
Brontide,Base,Water,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),own,Bubbles stream,original
Brontide,Base,Water,13,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Brontaur,Stage 2,Water,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Brontide,Yellow stars fly,original
Brontaur,Stage 2,Water,1,Water Splash,Water,Spec,40,—,inherited from Brontide,Water jet,original
Brontaur,Stage 2,Water,5,Mist Shroud,Water,Status,0,Raises evasion,inherited from Brontide,Afterimage flicker,reuses: Afterimage
Brontaur,Stage 2,Water,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),inherited from Brontide,Bubbles stream,original
Brontaur,Stage 2,Water,13,Slash Strike,Normal,Phys,50,—,inherited from Brontide,Slash lines,original
Brontaur,Stage 2,Water,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Brontaur,Stage 2,Water,21,Torrent Fang,Water,Spec,80,—,own,Water jet,reuses: Water Splash
Brontaur,Stage 2,Water,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Glacisaur,Final A,Water/Ice,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Brontide,Yellow stars fly,original
Glacisaur,Final A,Water/Ice,1,Water Splash,Water,Spec,40,—,inherited from Brontide,Water jet,original
Glacisaur,Final A,Water/Ice,5,Mist Shroud,Water,Status,0,Raises evasion,inherited from Brontide,Afterimage flicker,reuses: Afterimage
Glacisaur,Final A,Water/Ice,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),inherited from Brontide,Bubbles stream,original
Glacisaur,Final A,Water/Ice,13,Slash Strike,Normal,Phys,50,—,inherited from Brontide,Slash lines,original
Glacisaur,Final A,Water/Ice,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Brontaur,Generic hit flash,original
Glacisaur,Final A,Water/Ice,21,Torrent Fang,Water,Spec,80,—,inherited from Brontaur,Water jet,reuses: Water Splash
Glacisaur,Final A,Water/Ice,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Brontaur,Spinning blades around user,original
Glacisaur,Final A,Water/Ice,30,Glacial Storm,Ice,Spec,110,Freeze (10%),own,Snowflake barrage,original
Glacisaur,Final A,Water/Ice,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Glacisaur,Final A,Water/Ice,38,Tidal Wave,Water,Spec,95,—,own,Large wave washes over,original
Dracotide,Final B,Water/Dragon,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Brontide,Yellow stars fly,original
Dracotide,Final B,Water/Dragon,1,Water Splash,Water,Spec,40,—,inherited from Brontide,Water jet,original
Dracotide,Final B,Water/Dragon,5,Mist Shroud,Water,Status,0,Raises evasion,inherited from Brontide,Afterimage flicker,reuses: Afterimage
Dracotide,Final B,Water/Dragon,9,Bubble Burst,Water,Spec,65,Lowers Speed (10%),inherited from Brontide,Bubbles stream,original
Dracotide,Final B,Water/Dragon,13,Slash Strike,Normal,Phys,50,—,inherited from Brontide,Slash lines,original
Dracotide,Final B,Water/Dragon,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Brontaur,Generic hit flash,original
Dracotide,Final B,Water/Dragon,21,Torrent Fang,Water,Spec,80,—,inherited from Brontaur,Water jet,reuses: Water Splash
Dracotide,Final B,Water/Dragon,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Brontaur,Spinning blades around user,original
Dracotide,Final B,Water/Dragon,30,Draco Surge,Dragon,Spec,100,—,own,Orange spiral blast,reuses: Draconic Burst
Dracotide,Final B,Water/Dragon,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Dracotide,Final B,Water/Dragon,38,Tidal Wave,Water,Spec,95,—,own,Large wave washes over,original
Buzzle,Base,Bug,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Buzzle,Base,Bug,1,Pincer Nip,Bug,Phys,45,—,own,Generic hit flash,reuses: Power Jab
Buzzle,Base,Bug,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,own,Sparkle overlay,reuses: Mirror Act
Buzzle,Base,Bug,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Buzzle,Base,Bug,13,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Buzzguard,Stage 2,Bug/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Buzzle,Slash lines,original
Buzzguard,Stage 2,Bug/Flying,1,Pincer Nip,Bug,Phys,45,—,inherited from Buzzle,Generic hit flash,reuses: Power Jab
Buzzguard,Stage 2,Bug/Flying,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Buzzle,Sparkle overlay,reuses: Mirror Act
Buzzguard,Stage 2,Bug/Flying,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Buzzle,Yellow stars fly,original
Buzzguard,Stage 2,Bug/Flying,13,Coin Toss,Normal,Phys,40,—,inherited from Buzzle,Coins scatter,original
Buzzguard,Stage 2,Bug/Flying,17,Skyward Dive,Flying,Phys,70,None (2-turn),own,"Flies off, then dives",original
Buzzguard,Stage 2,Bug/Flying,21,Swarm Strike,Bug,Phys,70,—,own,Yellow stars fly,reuses: Star Shower
Buzzguard,Stage 2,Bug/Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Voltwing,Final A,Bug/Electric,1,Slash Strike,Normal,Phys,50,—,inherited from Buzzle,Slash lines,original
Voltwing,Final A,Bug/Electric,1,Pincer Nip,Bug,Phys,45,—,inherited from Buzzle,Generic hit flash,reuses: Power Jab
Voltwing,Final A,Bug/Electric,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Buzzle,Sparkle overlay,reuses: Mirror Act
Voltwing,Final A,Bug/Electric,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Buzzle,Yellow stars fly,original
Voltwing,Final A,Bug/Electric,13,Coin Toss,Normal,Phys,40,—,inherited from Buzzle,Coins scatter,original
Voltwing,Final A,Bug/Electric,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Buzzguard,"Flies off, then dives",original
Voltwing,Final A,Bug/Electric,21,Swarm Strike,Bug,Phys,70,—,inherited from Buzzguard,Yellow stars fly,reuses: Star Shower
Voltwing,Final A,Bug/Electric,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Buzzguard,Spinning blades around user,original
Voltwing,Final A,Bug/Electric,30,Storm Bolt,Electric,Spec,110,Paralysis (10%),own,Large lightning + flash,original
Voltwing,Final A,Bug/Electric,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Voltwing,Final A,Bug/Electric,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
Jabjacket,Final B,Bug/Fighting,1,Slash Strike,Normal,Phys,50,—,inherited from Buzzle,Slash lines,original
Jabjacket,Final B,Bug/Fighting,1,Pincer Nip,Bug,Phys,45,—,inherited from Buzzle,Generic hit flash,reuses: Power Jab
Jabjacket,Final B,Bug/Fighting,5,Silk Snare,Bug,Status,0,Sharply lowers Speed,inherited from Buzzle,Sparkle overlay,reuses: Mirror Act
Jabjacket,Final B,Bug/Fighting,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Buzzle,Yellow stars fly,original
Jabjacket,Final B,Bug/Fighting,13,Coin Toss,Normal,Phys,40,—,inherited from Buzzle,Coins scatter,original
Jabjacket,Final B,Bug/Fighting,17,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Buzzguard,"Flies off, then dives",original
Jabjacket,Final B,Bug/Fighting,21,Swarm Strike,Bug,Phys,70,—,inherited from Buzzguard,Yellow stars fly,reuses: Star Shower
Jabjacket,Final B,Bug/Fighting,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Buzzguard,Spinning blades around user,original
Jabjacket,Final B,Bug/Fighting,30,Grapple Slam,Fighting,Phys,80,Recoil to self,own,Hit flash + recoil,original
Jabjacket,Final B,Bug/Fighting,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Jabjacket,Final B,Bug/Fighting,38,Hive Fury,Bug,Phys,95,20% flinch,own,"Drill spiral, screen shake",reuses: Piercing Spiral
Frondove,Base,Grass/Flying,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Frondove,Base,Grass/Flying,1,Life Siphon,Grass,Spec,40,Heals user,own,"Green beam, drains HP",original
Frondove,Base,Grass/Flying,5,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Frondove,Base,Grass/Flying,9,Leaf Cutter,Grass,Spec,55,High crit rate,own,Slash lines,reuses: Slash Strike
Frondove,Base,Grass/Flying,13,Spore Cloud,Grass,Status,0,Puts target to sleep,own,Green sparkle overlay,reuses: Warm Recovery
Leaflark,Stage 2,Grass/Flying,1,Coin Toss,Normal,Phys,40,—,inherited from Frondove,Coins scatter,original
Leaflark,Stage 2,Grass/Flying,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Frondove,"Green beam, drains HP",original
Leaflark,Stage 2,Grass/Flying,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Frondove,Yellow stars fly,original
Leaflark,Stage 2,Grass/Flying,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Frondove,Slash lines,reuses: Slash Strike
Leaflark,Stage 2,Grass/Flying,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Frondove,Green sparkle overlay,reuses: Warm Recovery
Leaflark,Stage 2,Grass/Flying,17,Skyward Dive,Flying,Phys,70,None (2-turn),own,"Flies off, then dives",original
Leaflark,Stage 2,Grass/Flying,21,Bramble Rend,Grass,Spec,80,—,own,"Charge, then blade slash",reuses: Wind Slicer
